CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;REDE;ANO_ESCOLAR;QT_MATRICULAS;TAXA_EVASAO;TAXA_APROVACAO;TAXA_REPROVACAO;EVASAO_ABSOLUTA;APROVADOS_ABSOLUTOS;REPROVADOS_ABSOLUTOS
3201209;Cachoeiro de Itapemirim;ES;Municipal;9;533;0.018000000000000002;0.94;0.042;9.594000000000001;501.02;22.386000000000003
3201308;Cariacica;ES;Estadual;6;1915;0.005;0.9890000000000001;0.006;9.575000000000001;1893.9350000000002;11.49
3201308;Cariacica;ES;Estadual;7;2127;0.006;0.9840000000000001;0.01;12.762;2092.9680000000003;21.27
3201308;Cariacica;ES;Estadual;8;2047;0.005;0.977;0.018000000000000002;10.235;1999.9189999999999;36.846000000000004
3201308;Cariacica;ES;Estadual;9;2385;0.008;0.985;0.006999999999999999;19.080000000000002;2349.225;16.694999999999997
3201308;Cariacica;ES;Municipal;6;3428;0.005;0.905;0.09;17.14;3102.34;308.52
3201308;Cariacica;ES;Municipal;7;2933;0.005;0.912;0.083;14.665000000000001;2674.896;243.43900000000002
3201308;Cariacica;ES;Municipal;8;2631;0.012;0.907;0.081;31.572;2386.317;213.11100000000002
3201308;Cariacica;ES;Municipal;9;2180;0.005;0.965;0.03;10.9;2103.7;65.39999999999999
3201407;Castelo;ES;Estadual;6;24;0.0;1.0;0.0;0.0;24.0;0.0
3201407;Castelo;ES;Estadual;7;35;0.0;1.0;0.0;0.0;35.0;0.0
3201407;Castelo;ES;Estadual;8;54;0.0;0.98;0.02;0.0;52.92;1.08
3201407;Castelo;ES;Estadual;9;63;0.016;0.9179999999999999;0.066;1.008;57.833999999999996;4.158
3201407;Castelo;ES;Municipal;6;437;0.0;0.8759999999999999;0.124;0.0;382.81199999999995;54.188
3201407;Castelo;ES;Municipal;7;362;0.0;0.873;0.127;0.0;316.026;45.974000000000004
3201407;Castelo;ES;Municipal;8;315;0.0;0.91;0.09;0.0;286.65000000000003;28.349999999999998
3201407;Castelo;ES;Municipal;9;280;0.0;0.975;0.025;0.0;273.0;7.0
3201506;Colatina;ES;Estadual;6;109;0.0;0.991;0.009000000000000001;0.0;108.019;0.9810000000000001
3201506;Colatina;ES;Estadual;7;181;0.0;0.9890000000000001;0.011000000000000001;0.0;179.00900000000001;1.991
3201506;Colatina;ES;Estadual;8;243;0.0;0.992;0.008;0.0;241.056;1.944
3201506;Colatina;ES;Estadual;9;336;0.0;0.997;0.003;0.0;334.992;1.008
3201506;Colatina;ES;Municipal;6;1234;0.001;0.92;0.079;1.234;1135.28;97.486
3201506;Colatina;ES;Municipal;7;1033;0.0;0.91;0.09;0.0;940.0300000000001;92.97
3201506;Colatina;ES;Municipal;8;1000;0.004;0.927;0.069;4.0;927.0;69.0
3201506;Colatina;ES;Municipal;9;867;0.0;0.968;0.032;0.0;839.256;27.744
3201605;Conceição da Barra;ES;Estadual;6;118;0.0;0.958;0.042;0.0;113.044;4.956
3201605;Conceição da Barra;ES;Estadual;7;116;0.0;0.9640000000000001;0.036000000000000004;0.0;111.82400000000001;4.176
3201605;Conceição da Barra;ES;Estadual;8;129;0.0;0.992;0.008;0.0;127.968;1.032
3201605;Conceição da Barra;ES;Estadual;9;112;0.0;0.991;0.009000000000000001;0.0;110.992;1.008
3201605;Conceição da Barra;ES;Municipal;6;423;0.0;0.8690000000000001;0.131;0.0;367.58700000000005;55.413000000000004
3201605;Conceição da Barra;ES;Municipal;7;359;0.0;0.9079999999999999;0.092;0.0;325.972;33.028
3201605;Conceição da Barra;ES;Municipal;8;341;0.0;0.9309999999999999;0.069;0.0;317.471;23.529000000000003
3201605;Conceição da Barra;ES;Municipal;9;307;0.0;0.968;0.032;0.0;297.176;9.824
3201704;Conceição do Castelo;ES;Estadual;6;172;0.0;0.976;0.024;0.0;167.87199999999999;4.128
3201704;Conceição do Castelo;ES;Estadual;7;164;0.0;0.973;0.027000000000000003;0.0;159.572;4.428000000000001
3201704;Conceição do Castelo;ES;Estadual;8;151;0.015;0.948;0.037000000000000005;2.265;143.148;5.587000000000001
3201704;Conceição do Castelo;ES;Estadual;9;142;0.0;0.9490000000000001;0.051;0.0;134.758;7.241999999999999
3201704;Conceição do Castelo;ES;Municipal;6;0;;;;0.0;0.0;0.0
3201704;Conceição do Castelo;ES;Municipal;7;0;;;;0.0;0.0;0.0
3201704;Conceição do Castelo;ES;Municipal;8;0;;;;0.0;0.0;0.0
3201704;Conceição do Castelo;ES;Municipal;9;0;;;;0.0;0.0;0.0
3201803;Divino de São Lourenço;ES;Estadual;6;43;0.0;0.975;0.025;0.0;41.925;1.075
3201803;Divino de São Lourenço;ES;Estadual;7;45;0.0;1.0;0.0;0.0;45.0;0.0
3201803;Divino de São Lourenço;ES;Estadual;8;48;0.0;1.0;0.0;0.0;48.0;0.0
3201803;Divino de São Lourenço;ES;Estadual;9;49;0.0;0.9790000000000001;0.021;0.0;47.971000000000004;1.0290000000000001
3201803;Divino de São Lourenço;ES;Municipal;6;17;0.0;0.8;0.2;0.0;13.600000000000001;3.4000000000000004
3201803;Divino de São Lourenço;ES;Municipal;7;21;0.0;0.95;0.05;0.0;19.95;1.05
3201803;Divino de São Lourenço;ES;Municipal;8;20;0.111;0.833;0.055999999999999994;2.22;16.66;1.1199999999999999
3201803;Divino de São Lourenço;ES;Municipal;9;10;0.0;1.0;0.0;0.0;10.0;0.0
3201902;Domingos Martins;ES;Estadual;6;103;0.0;0.971;0.028999999999999998;0.0;100.01299999999999;2.9869999999999997
3201902;Domingos Martins;ES;Estadual;7;131;0.0;0.966;0.034;0.0;126.54599999999999;4.454000000000001
3201902;Domingos Martins;ES;Estadual;8;153;0.0;0.9670000000000001;0.033;0.0;147.95100000000002;5.049
3201902;Domingos Martins;ES;Estadual;9;150;0.0;0.993;0.006999999999999999;0.0;148.95;1.0499999999999998
